;ORTIGIA CC;TELIMAR;CUS PALERMO;PELOROROW;LAURIA CCR;Numero Gara;Orario;Specialità;Tipo Gara;PALERMO SC;THALATTA SC;CUS CATANIA;PARADISO CN;PELOROROW2;CUS PALERMO2;MESSINA CN;PELOROROW1;TELIMAR1;PELORO CC;CARIDDI CC;PELOROROW4;LAURIA CCR2;AUGUSTA CN;AUGUSTA CN1;MARSALA SC;PARADISO CN1;MESSINA CN1;UN SICILIANA;PALERMO SC1;CUS PALERMO4;LAURIA CCR1;PALERMO SC2
0;;Quaglino Maria Giovanna;Drago Teresa;Bitto Alessandra;;14;11:40;QUATTRO DI COPPIA MASTER B F;Finale;;;;;;;;;;;;Romeo Valentina;;;;;;;;;;;
1;;Sansone Simona;Saitta Beatrice;Falzea Simonetta;;14;11:40;QUATTRO DI COPPIA MASTER B F;Finale;;;;;;;;;;;;Gozzi Valeria;;;;;;;;;;;
2;;Militello Manuela;Barbaccia Chiara;Longo Giovanna;;14;11:40;QUATTRO DI COPPIA MASTER B F;Finale;;;;;;;;;;;;Sofi Sonia;;;;;;;;;;;
3;;Renda Linda;Cacciatore Isabella;Torre Teresa;;14;11:40;QUATTRO DI COPPIA MASTER B F;Finale;;;;;;;;;;;;Genitori Domenica;;;;;;;;;;;
0;;Griffo Giovanni;Giordano Giovanni;;Trupia Fausto;15;11:48;DOPPIO MASTER C M;Finale;;;;;;Anello Aurelio;;;;;;;Briguglia Fabio;;;;;;;;;;
1;;Gentile Francesco;Centineo Stefano;;Gallo Pierluigi;15;11:48;DOPPIO MASTER C M;Finale;;;;;;Zangla Daniele;;;;;;;Faso Giuseppe;;;;;;;;;;
0;;Bellavia Walter;;Balsamo Francesco;;16;11:56;SINGOLO 7,20 Allievi B1 M;Finale;;;;;;;;;;;;;;;;;;;;;;;
0;;;;;;17;11:56;SINGOLO 7,20 Allievi B2 M;Finale;Oliva Salvatore;;;;;;;;;;;;;Spinali Valentino;Spinali Flavio;;;;;;;;
0;;Genuardi Carmelo;;;;18;12:06;SINGOLO MASTER C M;Finale;;;;Bonanno Nicola;;;;;;;;;;;;Rallo Massimiliano;Arrigo Giovanni;;;;;;
0;;Moschitta Alessia;Saitta Beatrice;;;19;12:14;SINGOLO MASTER A F;Finale;;;;;;;Pietroburgo Valeria;;;;;;;;;;;Curro' Tiziana;;;;;
0;;La Rosa Enrico;Bonanno Matteo;Condurso Christian;;20;12:22;DOPPIO Allievi B1 M;Finale;;;;Broccio Andrea;;;;;;;;;;;;;;;;;;;
1;;MandalÀ Christian;Canino Antonio;Genovese Antonio;;20;12:22;DOPPIO Allievi B1 M;Finale;;;;De Luca Francesco;;;;;;;;;;;;;;;;;;;
0;;;La Rocca Alberto;Bonomo Mattia;Algozini Alessandro;21;12:22;DOPPIO Allievi B2 M;Finale;;;;;De Domenico Francesco;;;;;;;;;;;;;;;;;;
1;;;Costabile Cristian;Piscitello Aurelio Lucio;D'avenia Giancarlo;21;12:22;DOPPIO Allievi B2 M;Finale;;;;;Bernava Luca;;;;;;;;;;;;;;;;;;
0;;;;;Caiolo Leonardo;22;12:32;QUATTRO SENZA Under 17 M;Finale;Magazzu' Stefan;;;;;;;;;;;;;;;;;;;;;;
1;;;;;La Franca Emilio;22;12:32;QUATTRO SENZA Under 17 M;Finale;Miraglia Luca;;;;;;;;;;;;;;;;;;;;;;
2;;;;;Oteri Federico;22;12:32;QUATTRO SENZA Under 17 M;Finale;Castiglione Andrea;;;;;;;;;;;;;;;;;;;;;;
3;;;;;Vitello Lorenzo;22;12:32;QUATTRO SENZA Under 17 M;Finale;Munteanu Federico Andrei;;;;;;;;;;;;;;;;;;;;;;
0;Conti Marco;Durante Alessandro;;;;23;12:40;SINGOLO Senior A M;Finale;Amato Federico;;;Ficarra Davide;;;;;;;;;;;;;;;Mignemi Umberto;;;;
0;;Caltabellotta Nicolo';Del Bosco Sergio;Fugazzotto Lucio;;24;12:48;SINGOLO Under 19 M;Finale;Civiletto Elia;;;;;;;;Molina Luca;;;;;;;;;;;Coppola Gabriele;;;
0;;;;Bardetta Gianluca;Butera Lorenzo;25;12:56;SINGOLO Esordienti M;Finale;;;;Gentiluomo Santi;;;;;;;;;;;;;;;;;;;
0;Fazzina Adriano;;;Condurso Paolo  Giuseppe;;26;13:04;DOPPIO Senior A M;Finale;;Nicita Alberto;;Giunta Marco;Aniceto Marco;;Scaglione Alessio;;;;;;;;;;;;;;;;
1;Pennisi Carmelo;;;Fugazzotto Pietro;;26;13:04;DOPPIO Senior A M;Finale;;Vita Francesco;;Lo Bue Francesco;Femmino' Dario;;Manganaro Roberto;;;;;;;;;;;;;;;;
0;;;Armeli Elena Joana;Condurso Maria;;27;13:12;QUATTRO DI COPPIA Senior A F;Finale;Scarpello Martina;;;Piazzese Carlotta;;;;;;;;;;;;;;;;;Barbieri Falbo Laura;;
1;;;Schillaci Beatrice;Longo Ornella;;27;13:12;QUATTRO DI COPPIA Senior A F;Finale;Benvenuti Chiara;;;Aiello Maddalena;;;;;;;;;;;;;;;;;Cataldi Martina;;
2;;;Mirra Giulia;Farite Alessandra;;27;13:12;QUATTRO DI COPPIA Senior A F;Finale;Zappulla Bianca;;;Arrigo Federica;;;;;;;;;;;;;;;;;Midulla Roberta;;
3;;;Nolfo Laura Rita;Condurso Valentina;;27;13:12;QUATTRO DI COPPIA Senior A F;Finale;Lacagnina Viviana;;;Meo Alice;;;;;;;;;;;;;;;;;Schimmenti Alessia;;
0;;;Crinelli Matteo;;Mangano Andrea;28;13:22;DOPPIO Allievi C M;Finale;;;;;;;;;;;;;;;;;;;;;;;
1;;;Trapani Mattia Maria;;Marino Paolo Mattia;28;13:22;DOPPIO Allievi C M;Finale;;;;;;;;;;;;;;;;;;;;;;;
0;;;Palmisano Andrea;Marino Alfredo;La Mantia Francesco;29;13:30;SINGOLO 7,20 Allievi C M;Finale;Martucci Francesco Jan;;;;;;;;;;;;;;;;;;;;;Licata Christian;
0;;;;Grungo Giovanni;;30;13:30;SINGOLO Allievi C M;Finale;;;;De Luca Sebastiano;;;;;;;;;;;;;;;;;;;
0;;La Marca Elsa;;;;31;13:38;DOPPIO Allievi C F;Finale;;;Adamo Giorgia;;;;;;;;;;;;;;;;;;;;
1;;Tosi Martina;;;;31;13:38;DOPPIO Allievi C F;Finale;;;Motta Francesca;;;;;;;;;;;;;;;;;;;;
0;Quacinella Sofiamaria;;Midulla Gloria;Messina Silvia;;32;13:46;SINGOLO 7,20 Allievi C F;Finale;;;;;;;;Balsamo Elisa Maria;;;;;;Ternullo Sofia;;;;;;;;;
0;;;;Nocita Emanuel;Faso Antonio;33;13:56;QUATTRO DI COPPIA Under 17 M;Finale;Cincimino Giuseppe;;;;;;;;;;;;;;;;;;;;;;
1;;;;Bernava Giorgio;Randazzo Francesco;33;13:56;QUATTRO DI COPPIA Under 17 M;Finale;Marino Alberto;;;;;;;;;;;;;;;;;;;;;;
2;;;;Landi Matteo;Mancuso Giotto;33;13:56;QUATTRO DI COPPIA Under 17 M;Finale;Coppola Gabriele;;;;;;;;;;;;;;;;;;;;;;
3;;;;Giacoppo Andrea;Gallo Vincenzo;33;13:56;QUATTRO DI COPPIA Under 17 M;Finale;Romano Gabriele;;;;;;;;;;;;;;;;;;;;;;
0;;Sardo Mattia;;;;34;14:04;DUE SENZA Under 19 M;Finale;;CalabrÒ Ludovico;;;;;;;;;;;;;;;;;;;;;
1;;Vallone Marco;;;;34;14:04;DUE SENZA Under 19 M;Finale;;Minissale Rocco;;;;;;;;;;;;;;;;;;;;;
0;Barreca Vittorio;Durante Alessandro;;;;35;14:04;DUE SENZA Senior A M;Finale;Zerilli Mario Pietro;Mauro Pietro;;;;;;;;;;;;;;;;;;;;;
1;Tredici Luca;Ficarra Giovanni;;;;35;14:04;DUE SENZA Senior A M;Finale;Giambanco Benedetto;Salemme Nazzareno;;;;;;;;;;;;;;;;;;;;;
0;;Piredda Caterina;;;Oteri Beatrice;36;14:12;DOPPIO Under 17 F;Finale;;;;;;;;;;;;;;;;;;;;;;;
1;;Cappellani Ester;;;Chillemi Ludovica;36;14:12;DOPPIO Under 17 F;Finale;;;;;;;;;;;;;;;;;;;;;;;
0;;;Barbieri Falbo Laura;Condurso Maria;;37;14:20;DOPPIO Senior A F;Finale;;Grasso Fortunata;;Armeli Elena Joana;Salpietro Alessandra;;;;;;;;;;;;;;;;;;
1;;;Cataldi Martina;Condurso Valentina;;37;14:20;DOPPIO Senior A F;Finale;;CalabrÒ Flavia;;Lo Bue Serena;Lui Michela;;;;;;;;;;;;;;;;;;
0;;;Dell'oglio Chiara;Longo Ornella;;38;14:28;DOPPIO Senior A F;Finale;Inzerillo Marta;;;Arrigo Federica;;;;;;;;;;;;;;;;;;;
1;;;Nolfo Laura Rita;Farite Alessandra;;38;14:28;DOPPIO Senior A F;Finale;Valenti Giulia;;;Meo Alice;;;;;;;;;;;;;;;;;;;
0;;Persico Renato;;Guagliardo Vittorio;Briguglia Fabio;39;14:38;QUATTRO DI COPPIA MASTER D M;Finale;;;;;;;;;;;;;;;;;;;;;;;
1;;Spina Riccardo;;Genovese Sergio;Faso Giuseppe;39;14:38;QUATTRO DI COPPIA MASTER D M;Finale;;;;;;;;;;;;;;;;;;;;;;;
2;;Caragliano Davide;;Di Stefano Andrea;Russo Luigi;39;14:38;QUATTRO DI COPPIA MASTER D M;Finale;;;;;;;;;;;;;;;;;;;;;;;
3;;Pellerito Roberto;;Giannino Giuseppe;Busacca Alessandro;39;14:38;QUATTRO DI COPPIA MASTER D M;Finale;;;;;;;;;;;;;;;;;;;;;;;
0;;;;BrigandÌ Amalia;;40;14:46;OTTO MASTER D F;Finale;;;;;;;;;;Guichard Marie FranÇoise;;;;;;;;;;;;;
1;;;;Falzea Simonetta;;40;14:46;OTTO MASTER D F;Finale;;;;;;;;;;Bitto Alessandra;;;;;;;;;;;;;
2;;;;Gozzi Valeria;;40;14:46;OTTO MASTER D F;Finale;;;;;;;;;;Torre Teresa;;;;;;;;;;;;;
3;;;;Leotta Lavinia;;40;14:46;OTTO MASTER D F;Finale;;;;;;;;;;Velardi Franca;;;;;;;;;;;;;
4;;;;Longo Giovanna;;40;14:46;OTTO MASTER D F;Finale;;;;;;;;;;Genitori Domenica;;;;;;;;;;;;;
5;;;;Romeo Valentina;;40;14:46;OTTO MASTER D F;Finale;;;;;;;;;;Cardillo Maria;;;;;;;;;;;;;
6;;;;Ruggeri Irene;;40;14:46;OTTO MASTER D F;Finale;;;;;;;;;;Vidal Quadras Fabra Maria;;;;;;;;;;;;;
7;;;;Sofi Sonia;;40;14:46;OTTO MASTER D F;Finale;;;;;;;;;;Orlando Antonia;;;;;;;;;;;;;
8;;;;Femmino' Dario -Tim.;;40;14:46;OTTO MASTER D F;Finale;;;;;;;;;;Ielo Karol -Tim.;;;;;;;;;;;;;
0;;Cappellani Irene;;;;41;14:54;SINGOLO 7,20 Allievi B2 F;Finale;Coppola Maria Eleonora;;;;;;;;Riminella Chrystal;;;;;Tumminello Gabriella;;;;;;;;;
0;;Sciortino Silvia;Cacciatore Isabella;;;42;15:02;DOPPIO MASTER B F;Finale;;;;;;;Pietroburgo Valeria;;;;;;;;;;;;;;;;
1;;Scozzola Maria Luisa;Drago Teresa;;;42;15:02;DOPPIO MASTER B F;Finale;;;;;;;Curro' Tiziana;;;;;;;;;;;;;;;;
0;;Battistiol Mario;Di Liberto Angelo;Ficarra Giovanni;;43;15:12;OTTO Senior A M;Finale;;;;;;;;;;;;;;;;;;;;;;;
1;;Bini Ruggero;Di Maria Giuseppe;Fugazzotto Pietro;;43;15:12;OTTO Senior A M;Finale;;;;;;;;;;;;;;;;;;;;;;;
2;;Brinza Vladut Ionut;Inzerillo Mattia;De Marco Antonino;;43;15:12;OTTO Senior A M;Finale;;;;;;;;;;;;;;;;;;;;;;;
3;;Luna Corrado;Mancuso Morgan;Arena Trazzi Riccardo;;43;15:12;OTTO Senior A M;Finale;;;;;;;;;;;;;;;;;;;;;;;
4;;Molina Luca;Palazzolo Girolamo;Sorrenti Domenico;;43;15:12;OTTO Senior A M;Finale;;;;;;;;;;;;;;;;;;;;;;;
5;;Giunta Marco;Palmisano Luigi;Condurso Paolo  Giuseppe;;43;15:12;OTTO Senior A M;Finale;;;;;;;;;;;;;;;;;;;;;;;
6;;Lo Bue Francesco;Puglia Pietro;Femmino' Dario;;43;15:12;OTTO Senior A M;Finale;;;;;;;;;;;;;;;;;;;;;;;
7;;Ficarra Davide;Sansone Marco;Bertuccio Giuseppe;;43;15:12;OTTO Senior A M;Finale;;;;;;;;;;;;;;;;;;;;;;;
8;;Lo Bue Serena -Tim.;Mirra Giulia -Tim.;Condurso Maria -Tim.;;43;15:12;OTTO Senior A M;Finale;;;;;;;;;;;;;;;;;;;;;;;
0;;;;;Chillemi Ludovica;44;15:20;DUE SENZA Under 19 F;Finale;Inzerillo Marta;;;;;;;;;;;;;;;;;;;;;;
1;;;;;Oteri Beatrice;44;15:20;DUE SENZA Under 19 F;Finale;Valenti Giulia;;;;;;;;;;;;;;;;;;;;;;
0;;;;;;45;15:20;DUE SENZA Senior A F;Finale;Benvenuti Chiara;CalabrÒ Flavia;;;;;;;;;;;;;;;;;;;;;
1;;;;;;45;15:20;DUE SENZA Senior A F;Finale;Scarpello Martina;Grasso Fortunata;;;;;;;;;;;;;;;;;;;;;
0;D'aquila Angelo;Russo Ivan;;Nocita Emanuel;Randazzo Francesco;46;15:28;DOPPIO Under 17 M;Finale;Marino Alberto;;;;;;;;;;;;Faso Antonio;;;;;;;;;;Capitanio Federico
1;Zanin Lorenzo;Vella Ettore;;Bernava Giorgio;Mancuso Giotto;46;15:28;DOPPIO Under 17 M;Finale;Romano Gabriele;;;;;;;;;;;;Gallo Vincenzo;;;;;;;;;;Perricone Giovanni
0;;Sardo Mattia;;;La Franca Emilio;47;15:36;QUATTRO SENZA Under 19 M;Finale;;;;Baia Christian;;;;;;;;;;;;;;;;;;;
1;;Vallone Marco;;;Oteri Federico;47;15:36;QUATTRO SENZA Under 19 M;Finale;;;;Soraci Angelo;;;;;;;;;;;;;;;;;;;
2;;Guccione Giorgio;;;Vitello Lorenzo;47;15:36;QUATTRO SENZA Under 19 M;Finale;;;;Pagano Enrico;;;;;;;;;;;;;;;;;;;
3;;Bellanca Dario;;;Trupia Dario;47;15:36;QUATTRO SENZA Under 19 M;Finale;;;;Mancuso Andrea;;;;;;;;;;;;;;;;;;;
0;Leone Sebastiano;;De Lorenzo Giorgio;Visalli Lorenzo;;48;15:46;QUATTRO DI COPPIA Cadetti M;Finale;;;;Caputo Valerio;;;;;;;;Donato Matteo;;;;;;;;;Randazzo Andrea;;
1;Pugliares Ettore;;Mandala' Alessio;Tudisco Diego;;48;15:46;QUATTRO DI COPPIA Cadetti M;Finale;;;;Letizia Francesco;;;;;;;;Genovese Giorgio;;;;;;;;;Vitrano Michele;;
2;Montoneri Matteo;;Messina Francesco;Turco Alberto Nunzio Giorgio;;48;15:46;QUATTRO DI COPPIA Cadetti M;Finale;;;;Pagano Pietro;;;;;;;;LucÀ Alessandro;;;;;;;;;Tumminello Diego;;
3;Sardina Adriano;;Messina Alessandro;D'augusta Flavio;;48;15:46;QUATTRO DI COPPIA Cadetti M;Finale;;;;Marino Bruno;;;;;;;;Lisciotto Emilio Francesco;;;;;;;;;Reibaldi Luca;;
0;;;Costabile Noemi;;;49;15:54;SINGOLO 7,20 Cadetti F;Finale;Muscarella Cristina;;;;;;;;;;;;;;;;;;;;;;
0;;Molfettini Carla;;Messina Aurora;;50;16:02;DOPPIO Cadetti F;Finale;Guida Viola;;;;;;;;;;;;;;;;;;;;;;
1;;Velardita Virginia;;Trischitta Mariantonietta;;50;16:02;DOPPIO Cadetti F;Finale;Zappulla Cecilia;;;;;;;;;;;;;;;;;;;;;;
0;;Riminella Giuseppe;;Vinci Giovanni;;51;16:12;SINGOLO 7,20 Allievi A Mix;Finale;;;;;;;;Bonomo Marco;;;;;;;;;;;;;;;
0;;;Chiarello Danilo;Sottile Salvatore;;52;16:20;SINGOLO 7,20 Allievi A Mix;Finale;;;;;;;;Muyodi Rebecca  Getrude;;;;;;;;;;;;;;;
